Data;Preco_Fechamento;Volume
2025-01-20;101275,34;72970313683
2025-01-21;101764,91;120158523166
2025-01-22;106182,24;95344290057
2025-01-23;103673,54;55030669602
2025-01-24;104067,61;102455227371
2025-01-25;104835,19;51418786362
2025-01-26;104796,04;22740744964
2025-01-27;102552,25;20639818380
2025-01-28;101958,47;93191643783
2025-01-29;101313,11;45780526813
2025-01-30;103718,98;47425401641
2025-01-31;104781,51;42122570869
2025-02-01;102382,39;37187819228
2025-02-02;100674,79;22827776122
2025-02-03;97568,32;59784234332
2025-02-04;101466,86;122163969235
2025-02-05;98118,44;73196693057
2025-02-06;96582,89;48848958931
2025-02-07;96635,42;44462180396
2025-02-08;96558,46;57077722340
2025-02-09;96558,24;20760850644
2025-02-10;96548,58;25457107581
2025-02-11;97399,98;37054987393
2025-02-12;95739,98;36454577154
2025-02-13;97836,19;47115618235
2025-02-14;96561,66;29084371910
2025-02-15;97488,48;32289906944
2025-02-16;97569,95;14215311318
2025-02-17;96149,35;13634794998
2025-02-18;95776,16;25324374113
2025-02-19;95495,89;38311133144
2025-02-20;96554,87;27703222487
2025-02-21;98384,32;24175261969
2025-02-22;96135,16;42477472950
2025-02-23;96564,15;18464415570
2025-02-24;96327,46;16643044374
2025-02-25;91396,77;45539703844
2025-02-26;88755,77;96742453402
2025-02-27;83900,11;69277430795
2025-02-28;84709,14;81960688217
2025-03-01;84441,9;80695237175
2025-03-02;86005,26;30634474722
2025-03-03;94261,53;61859112550
2025-03-04;86124,71;68715362745
2025-03-05;87310,81;65863356680
2025-03-06;90604,08;51606642859
2025-03-07;90001,4;47555759124
2025-03-08;86773,34;63216440874
2025-03-09;86142,98;18809360803
2025-03-10;80751,14;32013406240
2025-03-11;78783,94;49983692766
2025-03-12;82799,11;56404462275
2025-03-13;83884,25;41782186208
2025-03-14;81098,9;32583592654
2025-03-15;83971,71;28571483950
2025-03-16;84391,69;10761796127
2025-03-17;82610,62;21638031633
2025-03-18;84075,37;19659366246
2025-03-19;82780,03;24557570268
2025-03-20;86815,44;33871216993
2025-03-21;84270,84;27579127651
2025-03-22;84009,53;18091004975
2025-03-23;83793,31;7771134681
2025-03-24;85787,71;12617587530
2025-03-25;87327,73;27270889835
2025-03-26;87520,58;30351832942
2025-03-27;86960,86;25522877558
2025-03-28;87227,27;24620445368
2025-03-29;84359,47;31674486232
2025-03-30;82679,17;16837439419
2025-03-31;82356,38;13428975108
2025-04-01;82514,09;30326148749
2025-04-02;85237,59;29172899851
2025-04-03;82526,42;46332905657
2025-04-04;83163,99;36594464539
2025-04-05;83852,01;35647289400
2025-04-06;83595,89;14910400035
2025-04-07;78211,48;36140377231
2025-04-08;79179,29;82909748172
2025-04-09;76329,09;47812787635
2025-04-10;82622,17;87408220482
2025-04-11;79596,36;41213520154
2025-04-12;83439,29;39813566443
2025-04-13;85305,1;22428929482
2025-04-14;83600,82;28731125717
2025-04-15;84523,45;33155578229
2025-04-16;83656,49;25084671427
2025-04-17;84105,78;26948109141
2025-04-18;84930,91;19323821375
2025-04-19;84433,75;9550691272
2025-04-20;85126,66;12635983530
2025-04-21;85073,17;12625843856
2025-04-22;87452,05;40070025414
2025-04-23;93576,17;53841992235
2025-04-24;93605,45;39901515879
2025-04-25;93872,81;30031246761
2025-04-26;94773,11;39336184715
2025-04-27;94644,07;15445392739
2025-04-28;93809,34;15926259371
2025-04-29;95030,61;31913814736
2025-04-30;94256,36;25882629766
2025-05-01;94235,75;26541700309
2025-05-02;96426,95;30207566405
2025-05-03;96855,57;23276376191
2025-05-04;95922,87;13797554863
2025-05-05;94326,62;14903122945
2025-05-06;94758,82;24086456278
2025-05-07;96854,53;23348052607
2025-05-08;97026,49;64376174032
2025-05-09;103076,28;50020047720
2025-05-10;102962,54;40800894903
2025-05-11;104630,88;21558992540
2025-05-12;103994,06;27389436049
2025-05-13;102876,83;43090605819
2025-05-14;104184,49;33861432519
2025-05-15;103594,43;28398245846
2025-05-16;103708,85;31823340473
2025-05-17;103556,03;25887953182
2025-05-18;103212,36;18950056010
2025-05-19;106030,64;30744060179
2025-05-20;105629,42;43339734153
2025-05-21;106786,72;36393687094
2025-05-22;109665,86;60722883113
2025-05-23;111560,36;52218408239
2025-05-24;107216,67;49251745837
2025-05-25;107831,36;27128230116
2025-05-26;108861,81;29652659665
2025-05-27;109377,72;27950577137
2025-05-28;109068,46;38978783508
2025-05-29;107838,18;29794278037
2025-05-30;105745,42;38279231892
2025-05-31;104010,92;39680060337
2025-06-01;104687,51;20432694555
2025-06-02;105710,01;17721500507
2025-06-03;105884,74;26313843058
2025-06-04;105434,48;25925661121
2025-06-05;104812,92;25812143562
2025-06-06;101650,74;39711941132
2025-06-07;104409,75;29897390978
2025-06-08;105681,45;17749731308
2025-06-09;105692,25;16044679696
2025-06-10;110261,57;38222993297
2025-06-11;110212,73;36303839182
2025-06-12;108679,98;30338936631
2025-06-13;105979,23;35865159511
2025-06-14;106045,56;49471015505
2025-06-15;105482,91;17916412455
2025-06-16;105554,49;16568441852
2025-06-17;106951,27;32095957011
2025-06-18;104683,42;38603212010
2025-06-19;104722,7;30339326410
2025-06-20;104690,65;18063282658
2025-06-21;103290,11;30632751225
2025-06-22;101532,57;21644463198
2025-06-23;100852,58;51287142390
2025-06-24;105511,62;50011797128
2025-06-25;105976,07;31704641076
2025-06-26;107238,53;30468274982
2025-06-27;106984,01;24320699663
2025-06-28;107078,92;25194306261
2025-06-29;107331,59;8960877693
2025-06-30;108396,62;14881078675
2025-07-01;107132,8;22489515582
2025-07-02;105613,4;25033160828
2025-07-03;108824,44;36395184773
2025-07-04;109602,2;29892049537
2025-07-05;108040,89;24248906784
2025-07-06;108217,47;10042942280
2025-07-07;109215,2;14638669497
2025-07-08;108300,72;25493246475
2025-07-09;108953,19;20488865138
2025-07-10;111327,53;37078460440
2025-07-11;115879,65;56204086624
2025-07-12;117571,03;64185145923
2025-07-13;117418,96;24351256098
2025-07-14;119117,56;27310851454
2025-07-15;119833,67;68915956378
2025-07-16;117678,19;80299520980
2025-07-17;118748,16;50374263848
2025-07-18;119445,37;49282617205
2025-07-19;117988,95;58896449260
2025-07-20;117901,63;23934511126
2025-07-21;117256,92;36702153882
2025-07-22;117482,47;46344384345
2025-07-23;119955,8;58939000420
2025-07-24;118629,06;45225685167
2025-07-25;118354,44;51940414419
2025-07-26;117540,81;91617702596
2025-07-27;117959,54;25145925063
2025-07-28;119418,91;30220402191
2025-07-29;118003,3;43433742203
2025-07-30;117853,31;42860287143
2025-07-31;117833,24;43054424656
2025-08-01;115700,0;45238249453
2025-08-02;113234,61;65794680822
2025-08-03;112554,9;33543439044
2025-08-04;114199,11;24689273719
2025-08-05;115138,69;32488023582
2025-08-06;114128,35;37316213251
2025-08-07;115022,1;32052509631
2025-08-08;117463,47;38289687095
2025-08-09;116688,37;33017415812
2025-08-10;116510,08;27638785406
2025-08-11;119266,93;37157754754
2025-08-12;118773,8;61739781527
2025-08-13;120202,53;46941089789
2025-08-14;123560,99;61818118105
2025-08-15;118405,6;73822008367
2025-08-16;117339,79;44268714220
2025-08-17;117501,22;23202714236
2025-08-18;117542,84;20906566026
2025-08-19;116256,41;47337926940
2025-08-20;112778,34;46156885037
2025-08-21;114252,4;42166369117
2025-08-22;112414,4;32048202090
2025-08-23;116834,25;50878158870
2025-08-24;115359,98;27306719885
2025-08-25;113399,55;40682656776
2025-08-26;110185,35;52854872363
2025-08-27;111842,71;43023800053
2025-08-28;111216,08;36957904262
2025-08-29;112525,6;34222495087
2025-08-30;108480,31;51702115726
2025-08-31;108781,96;27799981330
2025-09-01;108253,36;26140904019
2025-09-02;109162,69;42999610648
2025-09-03;111190,18;50235464642
2025-09-04;111711,52;36406080683
2025-09-05;110724,74;38708366685
2025-09-06;110662,18;56020470627
2025-09-07;110209,19;19340758702
2025-09-08;111131,99;22147049159
2025-09-09;112025,13;37159847899
2025-09-10;111547,44;45338021458
2025-09-11;113975,32;52205187155
2025-09-12;115503,17;43752917632
2025-09-13;116160,14;51192951485
2025-09-14;115970,58;30063858747
2025-09-15;115373,56;26889399414
2025-09-16;115397,25;46947581231
2025-09-17;116762,85;39964451595
2025-09-18;116455,95;54740952295
2025-09-19;117145,5;43642467075
2025-09-20;115655,81;34296721252
2025-09-21;115715,52;18774953731
2025-09-22;115304,48;18659113982
2025-09-23;112696,74;69152342029
2025-09-24;112022,17;46154878824
2025-09-25;113320,57;46677543220
2025-09-26;108963,53;74481796351
2025-09-27;109710,21;55257214020
2025-09-28;109654,81;23294896964
2025-09-29;112142,57;31274654338
2025-09-30;114309,15;57833295882
2025-10-01;114024,23;57718901820
2025-10-02;118503,24;69920179085
2025-10-03;120611,72;71252850672
2025-10-04;122250,15;83155430408
2025-10-05;122380,94;35161626561
2025-10-06;123506,19;72011486031
2025-10-07;124773,51;69605991064
2025-10-08;121518,76;76087884719
2025-10-09;123352,5;62576032795
2025-10-10;121698,03;72097306668
2025-10-11;113201,74;151002213089
2025-10-12;110853,12;108643865752
2025-10-13;115189,57;93857100744
2025-10-14;115222,28;68935270367
2025-10-15;113156,57;91211854988
2025-10-16;110708,67;68877328886
2025-10-17;108076,73;84773160808
2025-10-18;106443,61;94325236794
2025-10-19;107156,0;34412835719
2025-10-20;108621,13;45373692612
2025-10-21;110608,57;60452111148
2025-10-22;108486,1;105841401713
2025-10-23;107618,43;83996418125
2025-10-24;110048,52;56192643013
2025-10-25;110997,8;49120903424
2025-10-26;111620,31;23214874411
2025-10-27;114476,01;42483268634
2025-10-28;114182,79;63764801510
2025-10-29;112950,35;66299512352
2025-10-30;110046,67;64235327509
2025-10-31;108240,77;72648897659
2025-11-01;109573,91;58800487940
2025-11-02;110014,14;24938475577
2025-11-03;110650,21;35098774843
2025-11-04;106521,09;75068433317
2025-11-05;101635,27;108965721650
2025-11-06;103877,96;77083907216
2025-11-07;101322,64;64118217249
2025-11-08;103396,08;93627003785
2025-11-09;102290,14;51095924202
2025-11-10;104709,68;59952468437
2025-11-11;105909,07;67546556819
2025-11-12;102960,78;71008299178
2025-11-13;101521,71;63332414142
2025-11-14;99730,45;100463341916
2025-11-15;94456,39;113198323665
2025-11-16;95508,31;39062120798
2025-11-17;94411,33;72645149972
2025-11-18;92036,73;95794596045
2025-11-19;92819,76;103837258806
2025-11-20;91363,28;82897875507
2025-11-21;86649,97;99171039191
2025-11-22;85051,8;135093457122
2025-11-23;84682,62;42644968955
2025-11-24;86783,85;60446592409
2025-11-25;88229,36;77606296173
2025-11-26;87310,33;67956444142
2025-11-27;90474,23;69690430587
2025-11-28;91279,06;59295194347
2025-11-29;90950,38;62833195066
2025-11-30;90841,45;39253888201
2025-12-01;90406,28;40334819409
2025-12-02;86281,5;92988982967
2025-12-03;91344,73;83138039128
2025-12-04;93619,44;81429135004
2025-12-05;92140,7;67878296355
2025-12-06;89307,09;50193142876
2025-12-07;89244,76;24818678152
2025-12-08;90162,91;33912893266
2025-12-09;90618,05;45466493941
2025-12-10;92723,21;54575121853
2025-12-11;92005,14;52189659395
2025-12-12;92494,18;53232377699
2025-12-13;90307,26;67750393558
2025-12-14;90257,43;35222775785
2025-12-15;88230,77;33808538697
2025-12-16;86413,92;50630498834
2025-12-17;87821,89;48317754254
2025-12-18;86064,95;48886793507
2025-12-19;85450,33;58649139178
2025-12-20;88103,86;51932451056
2025-12-21;88347,94;17103607834
2025-12-22;88577,42;22541294542
2025-12-23;88491,12;41948947368
2025-12-24;87406,44;46353794741
2025-12-25;87642,61;29100645180
2025-12-26;87229,78;22773603342
2025-12-27;87305,96;47130449135
2025-12-28;87807,0;15670944599
2025-12-29;87822,91;17428479525
2025-12-30;87156,56;53957962807
2025-12-31;88414,63;39734225800
2026-01-01;87520,18;37245075349
2026-01-02;88727,67;21163124465
2026-01-03;89926,28;50705395175
2026-01-04;90593,85;23480735292
2026-01-05;91373,22;31050236622
2026-01-06;93926,8;59451605754
2026-01-07;93666,86;57439451725
2026-01-08;91257,16;47910812257
2026-01-09;90983,52;48319133568
2026-01-10;90504,9;43664879516
2026-01-11;90442,02;13961660357
2026-01-12;90819,37;19870776213
2026-01-13;91134,97;46923085427
2026-01-14;95260,44;66844465446
2026-01-15;97007,78;68433627980
2026-01-16;95584,83;59629891835
2026-01-17;95516,08;37208122951
2026-01-18;95099,53;17839431205
2026-01-19;93752,71;23132534225
2026-01-19;92973,41;41862391461
